PLANT_NAME,Description,Distribution_and_Habitat,Growing_Requirements,Uses_and_Benefits,Conservation_Status
Alpinia Galanga (Rasna),"Alpinia Galanga, commonly known as Rasna, is a perennial herb belonging to the ginger family (Zingiberaceae). It is native to Southeast Asia and is known for its aromatic rhizomes. Rasna is used in traditional medicine and culinary practices for its medicinal properties and flavor.","Rasna is found in tropical regions of Southeast Asia, including countries like India, Indonesia, Malaysia, and Thailand. It typically grows in moist, shaded areas.",Rasna thrives in well-drained soil and prefers partial shade to full shade. It requires a warm and humid climate for optimal growth.,"Rasna has been traditionally used for its anti-inflammatory, digestive, and analgesic properties. It is also used as a spice in cooking, especially in Southeast Asian cuisines.",The conservation status of Alpinia Galanga may vary depending on the specific geographical regions where it is found. Local conservation authorities or botanical surveys can provide more information.
Amaranths Viridis (Arive-Dantu),"Amaranths Viridis, commonly known as Arive-Dantu, is an annual herbaceous plant belonging to the Amaranthaceae family. It is known for its edible leaves and is cultivated as a leafy vegetable in many parts of the world.","Arive-Dantu is found in various regions globally, including Asia, Africa, and the Americas. It thrives in warm climates and can grow in a wide range of soil conditions.","Arive-Dantu grows well in fertile, well-drained soil with sufficient moisture. It prefers full sun but can tolerate partial shade.","The leaves of Arive-Dantu are rich in nutrients and are consumed as a nutritious vegetable. They are often used in salads, stir-fries, and soups.",Amaranths Viridis is not typically considered a threatened or endangered species.
Artocarpus Heterophyllus (Jackfruit),"Artocarpus Heterophyllus, commonly known as Jackfruit, is a tropical tree belonging to the Moraceae family. It is known for its large fruit, which is the largest tree-borne fruit in the world. Jackfruit is widely cultivated for its edible and versatile flesh.",Jackfruit is native to the Indian subcontinent and is now cultivated in various tropical regions worldwide. It grows well in tropical lowland areas with a humid climate.,Jackfruit trees prefer a warm and tropical climate. They require well-drained soil and perform best in areas with abundant sunlight.,"The ripe and unripe fruits of Jackfruit are used in culinary applications. The ripe fruit has a sweet flavor and is consumed fresh or used in desserts, while the unripe fruit is often used as a meat substitute in vegan and vegetarian dishes. Management of Type II diabetes mellitus.",Artocarpus Heterophyllus is not typically considered a threatened or endangered species.
,,,,,
Basella Alba (Basale),"Basella Alba, commonly known as Basale or Malabar Spinach, is a leafy green vine belonging to the Basellaceae family. It is native to tropical regions of Asia and is cultivated for its edible leaves.","Basale is found in various tropical regions, including India, Sri Lanka, and Southeast Asia. It thrives in warm and humid climates and is often grown as a backyard vegetable.","Basale prefers fertile, well-drained soil and requires ample sunlight. It can tolerate a range of temperatures but thrives in warm conditions.","The leaves of Basale are rich in nutrients and are consumed as a leafy vegetable. They are often used in salads, stir-fries, and traditional dishes in Asian cuisines.",Basella Alba is not typically considered a threatened or endangered species.
Brassica Juncea (Indian Mustard),"Brassica Juncea, commonly known as Indian Mustard or Brown Mustard, is a leafy green and oilseed crop belonging to the Brassicaceae family. It is widely cultivated for its edible leaves and oil-rich seeds.",Indian Mustard is believed to have originated in the Himalayan region of India and is now cultivated in many countries worldwide. It grows well in temperate climates.,Indian Mustard prefers well-drained soil and requires cool temperatures for optimal growth. It can tolerate frost and is often grown as a winter crop.,"The leaves of Indian Mustard are used as a leafy vegetable, particularly in Indian cuisine. The seeds are crushed to produce mustard oil, which is used in cooking and as a condiment.",Brassica Juncea is not typically considered a threatened or endangered species.
Carissa Carandas (Karanda),"Carissa Carandas, commonly known as Karanda or Bengal Currant, is a small, evergreen shrub belonging to the Apocynaceae family. It is native to the Indian subcontinent and is cultivated for its edible berries.","Karanda is found in various parts of India, as well as in neighboring countries like Bangladesh, Pakistan, and Nepal. It grows in diverse habitats, including forests, scrublands, and cultivated areas.",Karanda thrives in well-drained soil and can tolerate a wide range of temperatures. It prefers full sun to partial shade.,"The berries of Karanda are edible and have a sour taste. They are used in various culinary preparations, such as chutneys, jams, and beverages. The plant also has traditional medicinal uses.",Carissa Carandas is not typically considered a threatened or endangered species.
Citrus Limon (Lemon),"Citrus Limon, commonly known as Lemon, is a small evergreen tree belonging to the Rutaceae family. It is native to Asia and is widely cultivated for its acidic and aromatic fruits.","Lemons are cultivated in many countries with suitable climates, including regions like India, Mexico, and the Mediterranean. They require a subtropical climate to thrive.","Lemon trees prefer well-drained, slightly acidic soil and require a sunny location. They are sensitive to frost and grow best in regions with mild winters.","Lemons are known for their high vitamin C content and their tangy flavor. They are used in cooking, beverages, and as a flavoring agent. Lemon juice also has various culinary and medicinal applications.",Citrus Limon is not typically considered a threatened or endangered species.
Ficus Auriculata (Roxburgh fig),"Ficus Auriculata, commonly known as Roxburgh fig or Elephant ear fig, is a large evergreen tree belonging to the Moraceae family. It is native to South and Southeast Asia and is known for its broad, ear-shaped leaves and aerial roots.","Roxburgh fig trees can be found in various parts of South and Southeast Asia, including India, Sri Lanka, Thailand, and Malaysia. They typically grow in forests and are often seen near water bodies.",Roxburgh figs prefer well-drained soil and a tropical or subtropical climate. They thrive in areas with abundant sunlight and high humidity.,The fruit of Ficus Auriculata is edible and has a sweet and juicy taste. It is consumed fresh or used in traditional dishes in some regions. The tree also has cultural and religious significance in certain communities.,Ficus Auriculata is not typically considered a threatened or endangered species.
Ficus Religiosa (Peepal Tree),"Ficus Religiosa, commonly known as Peepal Tree or Bodhi Tree, is a large deciduous tree belonging to the Moraceae family. It is considered sacred in several religions and is known for its heart-shaped leaves.","Peepal trees are native to the Indian subcontinent and can be found in countries like India, Nepal, Sri Lanka, and Bangladesh. They also grow in other parts of Asia, including Southeast Asia.","Peepal trees are hardy and can grow in a variety of soil types. They prefer a warm climate and are often found in open spaces, including near temples, villages, and urban areas.","The Peepal Tree has cultural and religious significance, particularly in Hinduism and Buddhism. It is believed to be the tree under which Gautama Buddha attained enlightenment. In traditional medicine, different parts of the tree are used for various purposes.",Ficus Religiosa is not typically considered a threatened or endangered species.
